mat_name mat_dim mat_nnz block_size num_blocks num_iters num_innerprods max_degree num_matvecs specint_time arnoldi_time num_conv max_res
Si2 769 17801 3 30 1 8550 50 4500 0 0 26 4.30287e-13
SiH4 5041 171903 3 30 1 8550 50 4500 0 0 34 1.44471e-14
SiNa 5743 198787 3 30 1 8550 50 4500 0 1 34 2.41184e-14
Na5 5832 305630 3 30 1 8550 50 4500 0 1 30 5.78759e-13
benzene 8219 242669 3 30 1 8550 50 4500 0 1 35 5.03201e-14
Si10H16 17077 875923 3 30 1 8550 50 4500 0 1 0 0
Si5H12 19896 738598 3 30 1 8550 50 4500 0 1 9 8.39879e-16
SiO 33401 1317655 3 30 1 8550 50 4500 1 1 0 0
Ga3As3H12 61349 5970947 3 30 1 8550 50 4500 2 3 0 0
GaAsH6 61349 3381809 3 30 1 8550 50 4500 1 3 0 0
H2O 67024 2216736 3 30 1 8550 50 4500 2 2 1 4.46083e-15
Si34H36 97569 5156379 3 30 1 8550 50 4500 2 4 0 0
Ge99H100 112985 8451395 3 30 1 8550 50 4500 3 6 0 0
Ge87H76 112985 7892195 3 30 1 8550 50 4500 3 5 0 0
Ga10As10H30 113081 6115633 3 30 1 8550 50 4500 3 6 0 0
Ga19As19H42 133123 8884839 3 30 1 8550 50 4500 4 6 0 0
SiO2 155331 11283503 3 30 1 8550 50 4500 3 7 0 0
Si41Ge41H72 185639 15011265 3 30 1 8550 50 4500 6 9 0 0
CO 221119 7666057 3 30 1 8550 50 4500 5 7 0 0
Si87H76 240369 10661631 3 30 1 8550 50 4500 7 9 0 0
Ga41As41H72 268096 18488476 3 30 1 8550 50 4500 12 12 0 0
